;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
"MAPK-160.pnml";;;;;;;;2;;;;;;;;
"MAPK-8.pnml";100;93;89;100;89;95;88;0.3;2;1;2;1;1;0.6;5;93
"neoelection-3.unf.pnml";100;85;86;11;90;12;82;5;5;6;4;5;5;5;58;105
"FMS-100.pnml";;;;;;;;1;1;1;12;1;1;1;;
"cs_repetitions-4-unfolded.pnml";;;;;;;;5;;;;;;;;
"TokenRing-30-unfolded.pnml";;;;;;;;;;;;;17;;;
"Vasy2003.pnml";100;87;90;85;86;93;88;;;;;;;77;;96
"Peterson-2.pnml";100;52;55;51;55;72;63;8;7;4;7;5;4;6;4;103
"Peterson-3.pnml";;;;;;;;11;11;28;89;;;4;44;
"RAS-R-50.pnml";;;;;;;;0.008;0.02;0.05;0.02;0.02;0.02;0.008;;
"cs_repetitions-3-unfolded.pnml";100;82;81;81;81;81;84;0.1;0.2;0.7;0.3;2;0.6;0.3;21;99
"distributeur-01-SN-10.pnml";;;;;;;;0.5;0.2;0.2;0.4;0.4;0.5;0.5;0.3;
"ring.pnml";;;;;;;;0.007;0.05;0.1;0.06;0.04;0.05;0.01;;
"TokenRing-10-unfolded.pnml";;;;;;;;0.01;0.01;0.008;0.01;0.008;0.008;0.01;0.02;
"dekker-15.pnml";;;;;;;;0.1;1;0.02;0.1;0.02;0.02;0.02;;
"philosophers-20.pnml";;;;;;;;0.0008;0.0008;0.0008;0.0008;0.0008;0.0008;0.0008;;
"philosophers-500.pnml";;;;;;;;;0.08;0.1;0.08;0.5;0.4;;;
"unf-8x8-4stageSEN-01.pnml";100;96;104;100;99;100;96;54;54;85;90;104;91;68;78;101
"lamport_fmea-4.pnml";;;;;;;;1;1;1;1;2;2;1;13;
"Kanban-200.pnml";;;;;;;;;;;;22;21;;;
"philosophers-50.pnml";;;;;;;;0.003;0.004;0.004;0.004;0.004;0.004;0.08;;
"MAPK-40.pnml";;;;;;;;0.03;4;0.5;4;0.5;0.5;0.3;;
"RAS-R-15.pnml";;;;;;;;0.0008;0.002;0.002;0.003;0.003;0.003;0.0008;0.06;
"lamport_fmea-3.pnml";100;102;96;90;12;94;11;16;15;14;9;10;10;14;11;103
"philosophers-200.pnml";;;;;;;;0.05;0.03;0.03;0.03;0.03;0.03;0.1;;
"Kanban-20.pnml";100;101;91;91;90;91;90;68;47;200;5;2;2;12;;99
"MAPK-320.pnml";;;;;;;;23;;;;;;;;
"TokenRing-15-unfolded.pnml";;;;;;;;0.1;0.4;0.3;0.4;0.3;0.06;0.04;0.3;
"philosophers-10.pnml";100;109;98;100;100;107;99;0;0;0;0;0;0;0;0.04;97
"dekker-20.pnml";;;;;;;;;;0.2;;0.2;0.3;0.2;;
"FMS-50.pnml";100;11;11;99;105;11;11;7;6;7;38;7;7;6;304;102
"Kanban-100.pnml";;;;;;;;;;;2;1;1;;;
"RAS-R-20.pnml";;;;;;;;0.001;0.01;0.009;0.004;0.004;0.004;0.001;0.2;
"simple_lbs-5.pnml";100;101;103;12;103;104;106;11;109;99;42;31;40;108;28;100
"philosophers-100.pnml";;;;;;;;0.009;0.005;0.01;0.005;0.01;0.01;0.01;;
"philosophers-1000.pnml";;;;;;;;;0.2;;0.2;;;;;
"railroad-010-pt.pnml";;;;;;;;5;1;1;1;1;1;4;27;
"rwmutex-r10w1000.pnml";;;;;;;;;16;19;;;;;;
"FMS-200.pnml";;;;;;;;13;11;12;;13;13;10;;
"HouseConstruction-020.pnml";100;12;99;101;105;12;13;;;;;;;85;;104
"MAPK-80.pnml";;;;;;;;0.2;;9;;9;9;;;
"rwmutex-r20w10.pnml";;;;;;;;72;;;;;;0.03;;
"RAS-R-100.pnml";;;;;;;;0.03;0.1;0.2;0.05;0.1;0.1;0.04;;
"TokenRing-20-unfolded.pnml";;;;;;;;2;8;10;9;8;0.3;0.7;28;
"rwmutex-r10w500.pnml";100;72;85;104;13;96;14;33;8;11;91;95;96;53;86;92
"dekker-10.pnml";100;90;90;89;90;90;98;3;6;2;3;2;2;1;11;99
"Kanban-50.pnml";100;97;101;12;96;;100;78;;24;1;0.8;0.9;13;;101
"rwmutex-r10w100.pnml";100;14;97;13;13;15;13;40;9;8;64;67;69;34;66;100
"MAPK-20.pnml";;;;;;;;0.005;0.1;0.04;0.1;0.04;0.04;0.02;0.5;
"QCertifProtocol_06-unfold.pnml";;;;;;;;9;20;23;9;26;19;13;63;
