"model";"Natural";"Natural order";"Long iteration algorithm";"Long algorithm";"Medium iteration algorithm";"Medium algorithm";"Short iteration algorithm";"Short algorithm";"Force";"Order Edges";"Order Edges + Pre_Post";"Order Edges Reversed";"Order Edges Reversed + Pre_Post";"Order Edges Reversed + Pre_Post longer";"Order Pre Post";"Force 2";"Force 3"
"HouseConstruction-100.pnml";"1200,03";"1200,05";"1200,08";"1200,02";"1200,04";"1200,00";"1200,03";"1200,26";"1200,15";"1200,15";"1200,00";"1200,36";"1200,03";"1200,06";"1200,06";"1200,66";"1200,11"
"MAPK-160.pnml";"1200,05";"1200,02";"1200,03";;"1200,02";"1200,09";"1200,04";"1200,95";"25,57";"1200,06";"1200,12";"1201,97";"1204,48";"1200,09";"1200,03";"1200,29";"1200,10"
"lamport_fmea-5.pnml";"1200,06";"1200,05";"1200,09";"1200,06";"1200,25";"1200,02";"1200,02";"1200,04";"1200,13";"1200,05";"1200,05";"1200,05";"1200,09";"1200,07";"1200,07";"1200,07";"1200,09"
"MAPK-8.pnml";"3,21";"3,32";"3,12";"2,98";"3,33";"2,98";"3,16";"2,95";"0,01";"0,08";"0,04";"0,08";"0,04";"0,04";"0,02";"0,19";"3,00"
"neoelection-3.unf.pnml";"5,93";"108,52";"92,71";"93,83";"121,19";"98,64";"132,96";"89,84";"0,31";"0,34";"0,41";"0,29";"0,34";"0,33";"0,34";"347,68";"6,26"
"FMS-100.pnml";"1200,04";"1200,01";"1200,07";"1200,95";"1200,03";"1200,08";"1200,06";"1200,28";"15,29";"13,00";"14,06";"146,14";"15,64";"15,07";"13,17";"1204,19";"1200,08"
"cs_repetitions-2-unfolded.pnml";"0,09";"0,07";"0,08";"0,07";"0,08";"0,08";"0,09";"0,08";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,09"
"railroad-050-pt.pnml";"1206,65";"1200,43";"1200,50";"1200,09";"1200,46";"1201,52";"1200,07";"1201,03";"1200,12";"1200,33";"1200,02";"1200,27";"1200,10";"1200,14";"1200,04";"1200,14";"1205,95"
"cs_repetitions-4-unfolded.pnml";"1200,09";"1200,16";"1200,11";"1200,21";"1200,04";"1200,15";"1200,11";"1200,10";"62,26";"1200,22";"1200,35";"1200,37";"1200,19";"1200,21";"1200,06";"1200,37";"1200,01"
"QCertifProtocol_22-unfold.pnml";"1200,11";;"1200,21";;"1201,56";;"1200,36";;"1200,05";"1200,82";"1200,75";"1200,49";"1200,06";"1200,09";"1201,30";"1201,06";"1200,23"
"TokenRing-30-unfolded.pnml";"1200,09";"1200,07";"1200,05";"1200,08";"1200,02";"1200,06";"1200,09";"1200,04";"1200,08";"1200,03";"1200,08";"1200,04";"1200,11";"204,95";"1200,03";"1200,12";"1200,04"
"Peterson-4.pnml";"1200,08";"1200,01";"1200,04";"1200,03";"1200,07";"1200,10";"1200,05";"1200,10";"1200,11";"1200,07";"1200,08";"1200,02";"1200,02";"1200,07";"1200,10";"1200,09";"1200,08"
"QCertifProtocol_18-unfold.pnml";"1200,27";;;;"1213,46";;;;"1200,04";"1201,18";"1200,15";"1205,67";"1200,30";"1200,24";"1200,05";"1200,64";"1200,24"
"rwmutex-r1000w10.pnml";"1200,15";;;"1200,10";;;;;"1200,24";"1200,17";"1200,11";"1223,89";"1201,16";"1200,10";"1200,60";"1200,55";"1218,98"
"unf-8x8-4stageSEN-50.pnml";"1200,84";"1200,03";"1200,08";"1200,09";"1200,33";"1200,03";"1200,06";"1200,09";"1201,24";"1200,34";"1200,35";"1203,03";"1200,31";"1201,41";"1200,09";"1201,51";"1200,05"
