Model,Natural,Short,Short-iteration,Medium,Medium-iteration,Long,Long-iteration,
HouseConstruction-010.pnml,100,125.8,111.3,106.5,111.3,100.0,135.5,
rwmutex-r10w100.pnml,100,136.3,153.6,138.0,130.3,97.4,149.9,
rwmutex-r10w10.pnml,100,68.0,72.0,68.0,100.0,72.0,96.0,
neoelection-3.unf.pnml,100,82.8,122.5,90.9,111.7,86.5,85.4,
HouseConstruction-020.pnml,100,132.5,122.2,105.1,102.0,99.7,128.9,
eratosthenes-200.pnml,100,110.0,110.0,100.0,120.0,100.0,120.0,
Kanban-10.pnml,100,64.3,92.9,64.3,64.3,64.3,76.2,
RAS-R-10.pnml,100,68.8,75.0,62.5,112.5,87.5,100.0,
QCertifProtocol-02-unfold.pnml,100,100.0,100.0,100.0,100.0,100.0,126.7,
simple-lbs-5.pnml,100,106.4,104.6,103.7,125.7,103.7,101.8,
rwmutex-r10w50.pnml,100,96.8,103.2,96.8,109.7,109.7,93.5,
unf-8x8-4stageSEN-01.pnml,100,97.0,100.9,99.6,100.0,104.3,96.1,
Kanban-20.pnml,100,90.9,91.8,90.6,91.2,91.5,101.7,
Peterson-2.pnml,100,63.9,72.8,55.1,51.5,55.1,52.0,
dekker-10.pnml,100,98.3,90.6,90.0,89.4,90.0,90.6,
rwmutex-r10w20.pnml,100,104.5,104.5,100.0,104.5,100.0,113.6,
lamport-fmea-2.pnml,100,109.1,81.8,118.2,72.7,90.9,109.1,
philosophers-10.pnml,100,99.7,107.1,100.5,100.0,98.2,109.1,
Vasy2003.pnml,100,88.1,93.4,86.4,85.4,91.0,87.2,
FMS-20.pnml,100,122.7,115.2,107.6,104.5,107.6,116.7,
shared-memory-pt-10.pnml,100,95.9,128.4,89.2,133.8,91.9,136.5,
railroad-005-pt.pnml,100,84.4,102.2,92.2,130.0,83.3,93.3,
lamport-fmea-3.pnml,100,116.6,94.7,127.0,90.6,96.6,102.3,
FMS-50.pnml,100,113.6,112.5,105.8,99.3,110.3,111.2,
MAPK-8.pnml,100,88.9,95.2,89.8,100.3,89.8,94.0,
Kanban-50.pnml,100,100.1,0.0,96.6,122.7,101.9,97.8,
cs-repetitions-3-unfolded.pnml,100,84.3,81.1,81.7,81.6,81.4,82.3,
galloc-res-3.pnml,100,119.4,121.0,106.5,100.0,119.4,125.8,
rwmutex-r10w500.pnml,100,143.3,96.0,139.4,104.9,85.8,72.9,
neoelection-2.unf.pnml,100,92.3,100.0,92.3,138.5,138.5,92.3,
eratosthenes-500.pnml,100,115.8,121.1,107.0,122.8,105.3,119.3,
